rank	name	metric
1	ctp_t200_p2.20	0.847060897
2	ctp_t200_p2.35	0.846481535
3	ctp_t190_p2.05	0.846476209
4	ctp_t190_p2.20	0.845733333
5	ctp_t210_p2.35	0.845285347
6	ctp_t210_p2.50	0.845175269
7	ctp_t200_p2.05	0.843889755
8	ctp_t210_p2.65	0.843101880
9	ctp_t200_p2.50	0.842931204
10	ctp_t210_p2.20	0.842419485
11	ctp_t190_p2.35	0.840554887
12	ctp_t200_p2.65	0.837435303
13	ctp_t210_p2.05	0.835823656
14	ctp_t190_p2.50	0.832798901
15	ctp_t220_p2.50	0.831040662
16	ctp_t220_p2.35	0.830348203
17	ctp_t220_p2.65	0.829874029
18	ctp_t220_p2.20	0.826553608
19	ctp_t190_p2.65	0.824596368
20	ctp_t220_p2.05	0.819695630
21	ctp_t230_p2.50	0.813018916
22	ctp_t230_p2.35	0.811973741
23	ctp_t230_p2.65	0.811537571
24	ctp_t230_p2.20	0.808381236
25	ctp_t230_p2.05	0.804117891
