rank	name	metric	w0	w5	w15	w30	w42	w50
1	spline00	0.824292120	0.200000	0.211300	0.286251	0.510935	0.779438	1.000000
2	spline17	0.805203209	0.200000	0.235259	0.273813	0.468031	0.873980	1.000000
3	spline10	0.798949759	0.200000	0.211204	0.334639	0.646152	0.826737	1.000000
4	spline13	0.798933442	0.200000	0.207742	0.327404	0.526075	0.787632	1.000000
5	spline15	0.798861396	0.200000	0.241558	0.316491	0.500290	0.786009	1.000000
6	spline04	0.797913715	0.200000	0.204470	0.327293	0.517421	0.785051	1.000000
7	spline18	0.797439264	0.200000	0.232675	0.287618	0.710397	0.833547	1.000000
8	spline03	0.782997363	0.200000	0.250161	0.340690	0.550414	0.774270	1.000000
9	spline11	0.782114284	0.200000	0.247689	0.286776	0.711796	0.866769	1.000000
10	spline19	0.780569947	0.200000	0.254794	0.320802	0.646386	0.844326	1.000000
11	spline05	0.776187619	0.200000	0.237821	0.368685	0.611178	0.883406	1.000000
12	spline08	0.769354425	0.200000	0.243730	0.383186	0.676116	0.938484	1.000000
13	spline01	0.769085589	0.200000	0.248575	0.365708	0.467307	0.710701	1.000000
14	spline06	0.765327270	0.200000	0.201275	0.361224	0.587198	0.909862	1.000000
15	spline12	0.764337025	0.200000	0.257879	0.381475	0.656722	0.818463	1.000000
16	spline09	0.763086329	0.200000	0.244429	0.398097	0.583423	0.743007	1.000000
17	spline02	0.762652113	0.200000	0.245734	0.397393	0.502400	0.738865	1.000000
18	spline16	0.757610078	0.200000	0.265403	0.363248	0.580271	0.896971	1.000000
19	spline14	0.748304730	0.200000	0.269471	0.329808	0.656928	0.772375	1.000000
20	spline07	0.730916179	0.200000	0.265732	0.287454	0.670215	0.800825	1.000000
